Year,Month,IncType,ParentPropertyType,NumFireDeaths,NumAllFireInjuries,IncGeo_BoroughCode,IncGeo_BoroughName,IncGeo_WardCode,IncGeo_WardName,IgnitionSourcePower,IgnitionSource,ItemFirstIgnited,LocationFireStarted,ApplianceManufacturer,ApplianceManufacturerOther,MainCauseModel
2009,June,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000033,Westminster,E05013807,Vincent Square,Electricity,Washing machine,Wiring insulation,Kitchen,HOOVER,NULL,Quattro AS110
2009,July,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000007,Camden,E05013654,Camden Square,Electricity,Washing machine,Plastic - raw material only,Kitchen,CANDY,NULL,Aquaviva 120T
2009,June,Primary Fire,Purpose Built Flats/Maisonettes,0,1,E09000016,Havering,E05013969,Elm Park,Electricity,Fridge/Freezer,Plastic - raw material only,Corridor/Hall,BEJAM,NULL,Fridge Freezer model not known
2009,July,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000022,Lambeth,E05014113,Streatham Hill East,Electricity,Tumble dryer - Standard,Other textiles,Kitchen,NULL,NULL,NULL
2009,July,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000007,Camden,E05013660,Haverstock,Electricity,Fridge/Freezer,Other item,Kitchen,BOSCH,NULL,ClassicXX
2009,July,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000021,Kingston upon Thames,E05013932,Coombe Hill,Electricity,Washing machine,Wiring insulation,Kitchen,CANDY,NULL,450
2009,August,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000030,Tower Hamlets,E05009334,Stepney Green,Electricity,Fridge/Freezer,Plastic - raw material only,Bedroom,LEC,NULL,not known
2009,July,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000013,Hammersmith and Fulham,E05013751,West Kensington,Electricity,Washing machine,Plastic - raw material only,Kitchen,BEKO,NULL,WMA 510W
2009,August,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000031,Waltham Forest,E05013886,Endlebury,Electricity,Washer/Dryer combined,None,Kitchen,NULL,NULL,NULL
2009,September,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000032,Wandsworth,E05014024,Tooting Broadway,Electricity,Tumble dryer - Standard,Not known,Kitchen,INDESIT,NULL,unknown
2009,August,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000014,Haringey,E05013596,Northumberland Park,Electricity,Washing machine,Internal Fittings,Kitchen,HOTPOINT,NULL,WD860
2009,October,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000008,Croydon,E05011489,Woodside,Electricity,Washing machine,Wiring insulation,Kitchen,INDESIT,NULL,WIA 111
2009,October,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000009,Ealing,E05013536,South Acton,Electricity,Washing machine,Internal Fittings,Kitchen,HOTPOINT,NULL,wd640
2009,October,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000033,Westminster,E05013806,St. James's,Electricity,Washing machine,Wiring insulation,Kitchen,HOTPOINT,NULL,DWP 1200 Spin
2009,November,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000009,Ealing,E05013525,Hanwell Broadway,Electricity,Washing machine,Internal Fittings,Kitchen,HOTPOINT,NULL,Aquarius WF430
2009,January,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000019,Islington,E05013698,Barnsbury,Electricity,Washing machine,None,Kitchen,INDESIT,NULL,evolution 1400 we14
2009,June,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000022,Lambeth,E05014116,Streatham Wells,Electricity,Tumble dryer - Standard,Not known,Kitchen,NULL,NULL,NULL
2009,January,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000004,Bexley,E05011223,Crook Log,Electricity,Washing machine,Not known,Kitchen,NULL,NULL,NULL
2009,February,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000019,Islington,E05013698,Barnsbury,Electricity,Washing machine,Plastic - raw material only,Kitchen,SERVIS,NULL,easi logic 1300rpm
2009,January,Primary Fire,Purpose Built Flats/Maisonettes,0,2,E09000015,Harrow,E05013558,Roxbourne,Electricity,Fridge/Freezer,Other furniture,Kitchen,BEKO,NULL,not known
2009,April,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000023,Lewisham,E05013732,Telegraph Hill,Electricity,Washer/Dryer combined,Wiring insulation,Kitchen,CANDY,NULL,Aquarius 1300
2009,February,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000007,Camden,E05013669,St. Pancras & Somers Town,Electricity,Washing machine,Plastic - raw material only,Kitchen,ZANUSSI,NULL,Jetsystem 1000
2009,January,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000018,Hounslow,E05013625,Isleworth,Electricity,Washer/Dryer combined,Plastic - raw material only,Kitchen,NEFF,NULL,V4380X08B
2009,March,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000002,Barking and Dagenham,E05014061,Gascoigne,Electricity,Washer/Dryer combined,Wiring insulation,Kitchen,INDESIT,NULL,WD12XUK
2009,April,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000023,Lewisham,E05013721,Evelyn,Electricity,Washing machine,Rubber - raw material only,Kitchen,HOOVER,NULL,1300 special edition
2009,May,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000011,Greenwich,E05014074,Charlton Hornfair,Electricity,Tumble dryer - Standard,Wiring insulation,Other,INDESIT,NULL,30629
2009,May,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000012,Hackney,E05009373,Hackney Downs,Electricity,Spin dryer,Other/Unspecified furnishings,Kitchen,NULL,NULL,NULL
2009,April,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000019,Islington,E05013699,Bunhill,Electricity,Washing machine,Wiring insulation,Kitchen,NULL,NULL,NULL
2009,April,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000010,Enfield,E05013685,Lower Edmonton,Electricity,Washing machine,Plastic - raw material only,Kitchen,BLOMBERG,NULL,washing machine
2009,April,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000025,Newham,E05013922,Royal Albert,Electricity,Spin dryer,Plastic - raw material only,Kitchen,CREDA,NULL,DEBONAIR
2009,February,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000002,Barking and Dagenham,E05014060,Eastbury,Electricity,Tumble dryer - Standard,Other item,Kitchen,PHILIPS,NULL,D151
2009,February,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000023,Lewisham,E05013725,Ladywell,Electricity,Washing machine,Wiring insulation,Kitchen,CANDY,NULL,CN120T
2009,December,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000032,Wandsworth,E05014010,Battersea Park,Electricity,Washing machine,Other item,Kitchen,Other,unknown,unknown
