Year,Month,IncType,ParentPropertyType,NumFireDeaths,NumAllFireInjuries,IncGeo_BoroughName,IncGeo_WardName,IgnitionSource,ItemFirstIgnited,LocationFireStarted,ApplianceManufacturer,MainCauseModel,Date
2009,June,primary fire,purpose built flats/maisonettes,0,0,Westminster,Vincent square,,wiring insulation,kitchen,Hoover,quattro as110,2009-06-01
2009,July,primary fire,purpose built flats/maisonettes,0,0,Camden,Camden square,,plastic - raw material only,kitchen,Candy,aquaviva 120t,2009-07-01
2009,June,primary fire,purpose built flats/maisonettes,0,1,Havering,Elm park,fridge/freezer,plastic - raw material only,corridor/hall,Bejam,fridge freezer model not known,2009-06-01
2009,July,primary fire,purpose built flats/maisonettes,0,0,Lambeth,Streatham hill east,tumble dryer - standard,other textiles,kitchen,,,2009-07-01
2009,July,primary fire,purpose built flats/maisonettes,0,0,Camden,Haverstock,fridge/freezer,other item,kitchen,Bosch,classicxx,2009-07-01
2009,July,primary fire,purpose built flats/maisonettes,0,0,Kingston upon thames,Coombe hill,,wiring insulation,kitchen,Candy,450,2009-07-01
2009,August,primary fire,purpose built flats/maisonettes,0,0,Tower hamlets,Stepney green,fridge/freezer,plastic - raw material only,bedroom,Lec,,2009-08-01
2009,July,primary fire,purpose built flats/maisonettes,0,0,Hammersmith and fulham,West kensington,,plastic - raw material only,kitchen,Beko,wma 510w,2009-07-01
2009,August,primary fire,purpose built flats/maisonettes,0,0,Waltham forest,Endlebury,washer/dryer combined,,kitchen,,,2009-08-01
2009,September,primary fire,purpose built flats/maisonettes,0,0,Wandsworth,Tooting broadway,tumble dryer - standard,,kitchen,Indesit,,2009-09-01
2009,August,primary fire,purpose built flats/maisonettes,0,0,Haringey,Northumberland park,,internal fittings,kitchen,Hotpoint,wd860,2009-08-01
2009,October,primary fire,purpose built flats/maisonettes,0,0,Croydon,Woodside,,wiring insulation,kitchen,Indesit,wia 111,2009-10-01
2009,October,primary fire,purpose built flats/maisonettes,0,0,Ealing,South acton,,internal fittings,kitchen,Hotpoint,wd640,2009-10-01
2009,October,primary fire,purpose built flats/maisonettes,0,0,Westminster,St. james's,,wiring insulation,kitchen,Hotpoint,dwp 1200 spin,2009-10-01
2009,November,primary fire,purpose built flats/maisonettes,0,0,Ealing,Hanwell broadway,,internal fittings,kitchen,Hotpoint,aquarius wf430,2009-11-01
2009,January,primary fire,purpose built flats/maisonettes,0,0,Islington,Barnsbury,,,kitchen,Indesit,evolution 1400 we14,2009-01-01
2009,June,primary fire,purpose built flats/maisonettes,0,0,Lambeth,Streatham wells,tumble dryer - standard,,kitchen,,,2009-06-01
2009,January,primary fire,purpose built flats/maisonettes,0,0,Bexley,Crook log,,,kitchen,,,2009-01-01
2009,February,primary fire,purpose built flats/maisonettes,0,0,Islington,Barnsbury,,plastic - raw material only,kitchen,Servis,easi logic 1300rpm,2009-02-01
2009,January,primary fire,purpose built flats/maisonettes,0,2,Harrow,Roxbourne,fridge/freezer,other furniture,kitchen,Beko,,2009-01-01
2009,April,primary fire,purpose built flats/maisonettes,0,0,Lewisham,Telegraph hill,washer/dryer combined,wiring insulation,kitchen,Candy,aquarius 1300,2009-04-01
2009,February,primary fire,purpose built flats/maisonettes,0,0,Camden,St. pancras & somers town,,plastic - raw material only,kitchen,Zanussi,jetsystem 1000,2009-02-01
2009,January,primary fire,purpose built flats/maisonettes,0,0,Hounslow,Isleworth,washer/dryer combined,plastic - raw material only,kitchen,Neff,v4380x08b,2009-01-01
2009,March,primary fire,purpose built flats/maisonettes,0,0,Barking and dagenham,Gascoigne,washer/dryer combined,wiring insulation,kitchen,Indesit,wd12xuk,2009-03-01
2009,April,primary fire,purpose built flats/maisonettes,0,0,Lewisham,Evelyn,,rubber - raw material only,kitchen,Hoover,1300 special edition,2009-04-01
2009,May,primary fire,purpose built flats/maisonettes,0,0,Greenwich,Charlton hornfair,tumble dryer - standard,wiring insulation,,Indesit,30629,2009-05-01
2009,May,primary fire,purpose built flats/maisonettes,0,0,Hackney,Hackney downs,spin dryer,other/unspecified furnishings,kitchen,,,2009-05-01
2009,April,primary fire,purpose built flats/maisonettes,0,0,Islington,Bunhill,,wiring insulation,kitchen,,,2009-04-01
2009,April,primary fire,purpose built flats/maisonettes,0,0,Enfield,Lower edmonton,,plastic - raw material only,kitchen,Blomberg,,2009-04-01
2009,April,primary fire,purpose built flats/maisonettes,0,0,Newham,Royal albert,spin dryer,plastic - raw material only,kitchen,Creda,debonair,2009-04-01
2009,February,primary fire,purpose built flats/maisonettes,0,0,Barking and dagenham,Eastbury,tumble dryer - standard,other item,kitchen,Philips,d151,2009-02-01
2009,February,primary fire,purpose built flats/maisonettes,0,0,Lewisham,Ladywell,,wiring insulation,kitchen,Candy,cn120t,2009-02-01
2009,December,primary fire,purpose built flats/maisonettes,0,0,Wandsworth,Battersea park,,other item,kitchen,,,2009-12-01
2009,November,primary fire,purpose built flats/maisonettes,0,0,Ealing,South acton,dishwasher,wiring insulation,kitchen,Hotpoint,fdw60g,2009-11-01
2009,October,primary fire,purpose built flats/maisonettes,0,0,Lewisham,Bellingham,,wiring insulation,kitchen,Candy,,2009-10-01
2009,September,primary fire,purpose built flats/maisonettes,0,1,Bexley,Erith,washer/dryer combined,plastic - raw material only,kitchen,Candy,aquaviva 1300,2009-09-01
2009,April,primary fire,purpose built flats/maisonettes,0,0,Southwark,Rye lane,,other item,kitchen,Whirlpool,awo5763,2009-04-01
2009,June,primary fire,purpose built flats/maisonettes,0,0,Camden,Kentish town north,tumble dryer - standard,other item,kitchen,Hotpoint,aquaries tdl 30,2009-06-01
2009,March,primary fire,purpose built flats/maisonettes,0,0,Ealing,Southfield,dishwasher,wiring insulation,kitchen,Diplomat,adp 8352,2009-03-01
2009,April,primary fire,converted flats/maisonettes,0,0,Southwark,Peckham rye,,other item,kitchen,Ariston,ab1036t,2009-04-01
2009,May,primary fire,converted flats/maisonettes,0,1,Westminster,Little venice,fridge/freezer,wiring insulation,kitchen,,,2009-05-01
2009,October,primary fire,converted flats/maisonettes,0,0,Lambeth,Clapham park,dishwasher,wiring insulation,kitchen,Indesit,dishwasher,2009-10-01
2009,November,primary fire,converted flats/maisonettes,0,0,Tower hamlets,Bow east,washer/dryer combined,wiring insulation,kitchen,Indesit,wd125,2009-11-01
2009,November,primary fire,converted flats/maisonettes,0,0,Westminster,Little venice,fridge/freezer,wiring insulation,kitchen,Bosch,fridge/freezer,2009-11-01
2009,July,primary fire,converted flats/maisonettes,0,0,Newham,Plaistow south,fridge/freezer,plastic - raw material only,kitchen,Fridgemaster,,2009-07-01
2009,December,primary fire,converted flats/maisonettes,0,0,Hammersmith and fulham,Addison,,other item,utility room,,,2009-12-01
2009,December,primary fire,converted flats/maisonettes,0,0,Newham,Maryland,,wiring insulation,kitchen,Servis,1500rpm,2009-12-01
2009,May,primary fire,house in multiple occupation,0,0,Hackney,Lea bridge,fridge/freezer,internal fittings,bedroom,Candy,not known burnt away,2009-05-01
2009,November,primary fire,dwelling,0,0,Wandsworth,Tooting bec,tumble dryer - standard,wiring insulation,"under stairs (enclosed, storage area)",Aeg,,2009-11-01
2009,December,primary fire,dwelling,0,0,Hillingdon,Uxbridge,tumble dryer - standard,other item,kitchen,Hotpoint,aquarius tumble dryer,2009-12-01
2009,December,primary fire,dwelling,0,0,Hillingdon,Pinkwell,dishwasher,,kitchen,Diplomat,none on machine,2009-12-01
2009,December,primary fire,dwelling,0,0,Greenwich,Eltham park & progress,dishwasher,wiring insulation,kitchen,Indesit,dif 04,2009-12-01
2009,December,primary fire,dwelling,0,0,Hackney,Brownswood,dishwasher,plastic - raw material only,kitchen,Neff,s5443x1gb/29,2009-12-01
2009,December,primary fire,dwelling,0,0,Brent,Kingsbury,washer/dryer combined,wiring insulation,kitchen,Zanussi,essential 1600 washer dryer,2009-12-01
2009,November,primary fire,dwelling,0,0,Bexley,Falconwood & welling,,wiring insulation,kitchen,Hotpoint,aquarius 1100,2009-11-01
2009,November,primary fire,dwelling,0,0,Greenwich,West thamesmead,,wiring insulation,kitchen,Hotpoint,ultima 1200,2009-11-01
2009,December,primary fire,dwelling,0,0,Lewisham,Rushey green,tumble dryer - standard,wiring insulation,kitchen,Hotpoint,tumble dryer,2009-12-01
2009,December,primary fire,dwelling,0,0,Lambeth,Herne hill & loughborough junction,tumble dryer - standard,wiring insulation,kitchen,Creda,tvr 2,2009-12-01
2009,November,primary fire,dwelling,0,0,Barnet,East barnet,tumble dryer - standard,plastic - raw material only,garage,Bosch,tumble dryer,2009-11-01
2009,November,primary fire,dwelling,0,4,Newham,Manor park,fridge/freezer,gases,kitchen,Daewoo,erf344msg,2009-11-01
2009,November,primary fire,dwelling,0,0,Hammersmith and fulham,Grove,tumble dryer - standard,plastic - raw material only,utility room,Whirlpool,,2009-11-01
2009,November,primary fire,dwelling,0,0,Haringey,Highgate,tumble dryer - standard,clothing,utility room,Miele,tumble dryer,2009-11-01
2009,November,primary fire,dwelling,0,0,Barnet,Finchley church end,tumble dryer - standard,unspecified internal fitting/part of structure,utility room,Siemens,wt 720 cgb,2009-11-01
2009,November,primary fire,dwelling,0,0,Hillingdon,Uxbridge,tumble dryer - standard,wiring insulation,utility room,Hotpoint,aquarist tumble dryer,2009-11-01
2009,October,primary fire,dwelling,0,0,Kingston upon thames,Tudor,dishwasher,other item,kitchen,,,2009-10-01
2009,November,primary fire,dwelling,0,0,Havering,Rush green & crowlands,tumble dryer - standard,other item,kitchen,,,2009-11-01
2009,September,primary fire,dwelling,0,0,Barnet,Finchley church end,dishwasher,wiring insulation,kitchen,Bosch,calgont finish,2009-09-01
2009,February,primary fire,converted flats/maisonettes,0,0,Barnet,Barnet vale,fridge/freezer,plastic - raw material only,kitchen,Whirlpool,afb409/g/wp,2009-02-01
2009,March,primary fire,converted flats/maisonettes,0,0,Hammersmith and fulham,Sands end,,other item,kitchen,Indesit,wil 103 (uk),2009-03-01
2009,May,primary fire,converted flats/maisonettes,0,0,Islington,St. peter's & canalside,tumble dryer - standard,clothing,kitchen,Sensodry,dual heat tumble dryer,2009-05-01
2009,December,primary fire,house in multiple occupation,0,0,Waltham forest,High street,fridge/freezer,plastic - raw material only,kitchen,Aeg,,2009-12-01
2009,September,primary fire,house in multiple occupation,0,0,Lambeth,Streatham common & vale,,wiring insulation,kitchen,,washing machine/unknown,2009-09-01
2009,April,primary fire,house in multiple occupation,0,0,Enfield,New southgate,fridge/freezer,other/unspecified furnishings,kitchen,,,2009-04-01
